titre_complet,marque,annee,modele,prix_texte,prix,adresse,kilometrage,boite_vitesse,carburant,url_page,categorie
Renault Captur 2018,Renault,2018,Captur,6 900 000FCFA,6900000,"Passée, il y a 5 jours",170000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Renault Captur 2018,Renault,2018,Captur,6 900 000FCFA,6900000,"Passée, il y a 5 jours",170000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Renault Captur 2018,Renault,2018,Captur,6 900 000FCFA,6900000,"Passée, il y a 5 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Renault Captur 2018,Renault,2018,Captur,6 900 000FCFA,6900000,"Passée, il y a 5 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2017,Peugeot,2017,3008,6 000 000FCFA,6000000,"Passée, il y a 5 jours",185000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2017,Peugeot,2017,3008,6 000 000FCFA,6000000,"Passée, il y a 5 jours",185000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2017,Peugeot,2017,3008,6 000 000FCFA,6000000,"Passée, il y a 5 jours",185000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2017,Peugeot,2017,3008,6 000 000FCFA,6000000,"Passée, il y a 5 jours",185000.0,Automatique,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2017,Peugeot,2017,3008,6 000 000FCFA,6000000,"Passée, il y a 5 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 3008 2017,Peugeot,2017,3008,6 000 000FCFA,6000000,"Passée, il y a 5 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Explorer 2018,Ford,2018,Explorer,6 000 000FCFA,6000000,"Passée, il y a 5 jours",99000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Explorer 2018,Ford,2018,Explorer,6 000 000FCFA,6000000,"Passée, il y a 5 jours",99000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Explorer 2018,Ford,2018,Explorer,6 000 000FCFA,6000000,"Passée, il y a 5 jours",99000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Explorer 2018,Ford,2018,Explorer,6 000 000FCFA,6000000,"Passée, il y a 5 jours",99000.0,Automatique,Essence,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Explorer 2018,Ford,2018,Explorer,6 000 000FCFA,6000000,"Passée, il y a 5 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Ford Explorer 2018,Ford,2018,Explorer,6 000 000FCFA,6000000,"Passée, il y a 5 jours",,,,https://dakar-auto.com/senegal/voitures-4,voitures
Peugeot 2008 2018,Peugeot,2008,2018,6 000 000FCFA,6000000,"Passée, il y a 5 jours",184000.0,Manuelle,Diesel,https://dakar-auto.com/senegal/voitures-4,voitures
