titre_complet,marque,annee,modele,prix_texte,prix,adresse,kilometrage,url_page,categorie
Haouju Haouju 2024,Haouju,2024,Haouju,580 000FCFA,580000,"Passée, il y a 4 mois",2777.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Haouju Haouju 2024,Haouju,2024,Haouju,580 000FCFA,580000,"Passée, il y a 4 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Haouju Haouju 2024,Haouju,2024,Haouju,580 000FCFA,580000,"Passée, il y a 4 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Suzuki Address 2023,Suzuki,2023,Address,600 000FCFA,600000,"Passée, il y a 4 mois",200.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Suzuki Address 2023,Suzuki,2023,Address,600 000FCFA,600000,"Passée, il y a 4 mois",200.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Suzuki Address 2023,Suzuki,2023,Address,600 000FCFA,600000,"Passée, il y a 4 mois",200.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Suzuki Address 2023,Suzuki,2023,Address,600 000FCFA,600000,"Passée, il y a 4 mois",200.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Suzuki Address 2023,Suzuki,2023,Address,600 000FCFA,600000,"Passée, il y a 4 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Suzuki Address 2023,Suzuki,2023,Address,600 000FCFA,600000,"Passée, il y a 4 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Tracer 2017,Yamaha,2017,Tracer,2 150 000FCFA,2150000,"Passée, il y a 4 mois",50.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Tracer 2017,Yamaha,2017,Tracer,2 150 000FCFA,2150000,"Passée, il y a 4 mois",50.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Tracer 2017,Yamaha,2017,Tracer,2 150 000FCFA,2150000,"Passée, il y a 4 mois",50.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Tracer 2017,Yamaha,2017,Tracer,2 150 000FCFA,2150000,"Passée, il y a 4 mois",50.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Tracer 2017,Yamaha,2017,Tracer,2 150 000FCFA,2150000,"Passée, il y a 4 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Yamaha Tracer 2017,Yamaha,2017,Tracer,2 150 000FCFA,2150000,"Passée, il y a 4 mois",,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda XL Transalp 1996,Honda,1996,XL Transalp,1 200 000FCFA,1200000,"Passée, il y a 5 mois",63750.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda XL Transalp 1996,Honda,1996,XL Transalp,1 200 000FCFA,1200000,"Passée, il y a 5 mois",63750.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
Honda XL Transalp 1996,Honda,1996,XL Transalp,1 200 000FCFA,1200000,"Passée, il y a 5 mois",63750.0,https://dakar-auto.com/senegal/motos-and-scooters-3,motos
